Fecha
2015-10-07    16390
2015-10-08    16674
2015-10-09    16623
2015-10-10    12829
2015-10-11    15754
2015-10-12    16616
2015-10-13    16108
2015-10-14    16384
2015-10-15    16676
2015-10-16    16582
2015-10-17    12722
2015-10-18    15828
2015-10-19    16593
2015-10-20    16095
2015-10-21    16389
2015-10-22    16596
2015-10-23    16589
2015-10-24    12799
2015-10-25    15697
2015-10-26    16509
2015-10-27    15439
2015-10-28    15743
2015-10-29    16381
2015-10-30    16082
2015-10-31    11708
2015-11-01    15652
2015-11-02    16596
2015-11-03    15918
2015-11-04    16363
2015-11-05    16619
2015-11-06    16600
2015-11-07    12793
2015-11-08    15679
2015-11-09    16470
2015-11-10    16026
2015-11-11    16308
2015-11-12    16599
2015-11-13    16572
2015-11-14    12793
2015-11-15    15691
2015-11-16    16489
2015-11-17    16075
2015-11-18    16379
2015-11-19    16661
2015-11-20    16639
2015-11-21    12964
2015-11-22    14991
2015-11-23    14808
2015-11-24    16083
2015-11-25    16725
2015-11-26    10068
2015-11-27    12813
2015-11-28    16072
2015-11-29    17574
2015-11-30    16952
2015-12-01    15823
2015-12-02    15860
2015-12-03    16278
2015-12-04    16215
2015-12-05    12200
2015-12-06    15101
2015-12-07    16043
2015-12-08    15575
2015-12-09    15849
2015-12-10    16259
2015-12-11    16263
2015-12-12    12239
2015-12-13    15116
2015-12-14    16056
2015-12-15    15670
2015-12-16    16100
2015-12-17    16579
2015-12-18    16710
2015-12-19    14724
2015-12-20    15865
2015-12-21    16306
2015-12-22    16261
2015-12-23    16481
2015-12-24    13338
2015-12-25    12633
2015-12-26    15273
2015-12-27    16509
2015-12-28    16312
2015-12-29    16199
2015-12-30    16260
2015-12-31    13133
dtype: int64
