       ORIGIN_PORT  DESTINATION_PORT
14908       3340.0            3346.0
14952        142.0             141.0
14960        116.0             115.0
14986        287.0             288.0
15016       4076.0            4077.0
15024        215.0             216.0
15027         64.0              64.0
15041         58.0              58.0
15048         54.0              54.0
15070         58.0              58.0
15096        607.0             608.0
15249        266.0             267.0
15295         83.0              83.0
15304       4837.0            4836.0
15323        152.0             151.0
15356        261.0             260.0
15370       1250.0            1249.0
15376       1233.0            1233.0
15380        199.0             200.0
15389         83.0              83.0
15401         83.0              83.0
15411        215.0             214.0
15412        594.0             595.0
15497         13.0              13.0
15607         83.0              84.0
15624        390.0             391.0
15841         58.0              58.0
15919        890.0             891.0
15991         58.0              58.0
16218        168.0             167.0
10135         13.0              11.0
10136         12.0              11.0
10140        104.0             105.0
10141          4.0               4.0
10146          5.0               5.0
10155          8.0               8.0
10157          9.0               8.0
10158         16.0              16.0
10170          2.0               2.0
10185         14.0              13.0
10208         10.0              10.0
10257         43.0              41.0
10268          3.0               2.0
10279         17.0              16.0
10299         77.0              74.0
10333          2.0               3.0
10372          3.0               4.0
10397       1764.0            1771.0
10408         11.0              12.0
10423        218.0             217.0
10431         16.0              17.0
10434          6.0               6.0
10469          7.0               7.0
10529         92.0              97.0
10551          5.0               5.0
10561         11.0              11.0
10577          4.0               3.0
10581          2.0               2.0
10599         62.0              59.0
10620         15.0              14.0
10627         15.0              16.0
10631          4.0               4.0
10685         13.0              13.0
10693        237.0             242.0
10713         63.0              68.0
10721        557.0             558.0
10728          4.0               4.0
10731          4.0               4.0
10732          6.0               9.0
10739          3.0               3.0
10747         12.0              11.0
10754          6.0               6.0
10779          4.0               4.0
10781         38.0              36.0
10785         18.0              18.0
10792         98.0              90.0
10800         96.0              96.0
10821        453.0             458.0
10849         19.0              20.0
10868         22.0              22.0
10874         30.0              29.0
10918          3.0               3.0
10926          4.0               4.0
10980         21.0              21.0
10990         13.0              12.0
10994         71.0              69.0
11003         28.0              28.0
11013          3.0               3.0
11042        183.0             185.0
11049         12.0              12.0
11057        542.0             529.0
11066        115.0             116.0
11067         11.0              11.0
11076          4.0               4.0
11097          2.0               2.0
11109         36.0              33.0
11111          8.0               8.0
11122          7.0               8.0
11140         20.0              21.0
11146         10.0              10.0
11150          6.0               6.0
11193         94.0              90.0
11203          8.0               7.0
11252          7.0               7.0
11259        327.0             326.0
11267         39.0              41.0
11274          4.0               4.0
11278        377.0             370.0
11292       1001.0            1008.0
11298       1204.0            1221.0
11308          7.0               6.0
11315          4.0               4.0
11337         12.0              12.0
11413          7.0               8.0
11423         44.0              42.0
11433        502.0             489.0
11447          3.0               2.0
11471          4.0               4.0
11481         24.0              22.0
11503          1.0               NaN
11525          3.0               3.0
11537         11.0              11.0
11540         63.0              61.0
11577          3.0               3.0
11587          3.0               3.0
11603         17.0              17.0
11612         21.0              22.0
11617          3.0               3.0
11618        543.0             548.0
11624         10.0              10.0
11630         11.0              11.0
11637         29.0              28.0
11638         39.0              40.0
11641          9.0               9.0
11648          8.0               8.0
11695          8.0               9.0
11697        358.0             364.0
11721         26.0              23.0
11775         26.0              25.0
11778         10.0              10.0
11823         29.0              29.0
11865          5.0               5.0
11867          4.0               4.0
11884         46.0              47.0
11898          4.0               3.0
11905          2.0               4.0
11921         13.0              14.0
11953         13.0              13.0
11973         16.0              15.0
11977         26.0              25.0
11980          3.0               3.0
11982         22.0              20.0
11986         48.0              46.0
11995         33.0              28.0
11996         32.0              32.0
12003         10.0              10.0
12007          5.0               4.0
12016          2.0               2.0
12129          5.0               5.0
12156          8.0               8.0
12173        244.0             238.0
12177          3.0               3.0
12191        256.0             261.0
12197         40.0              40.0
12206         18.0              16.0
12217         21.0              20.0
12255          3.0               3.0
12264        166.0             172.0
12265          1.0               1.0
12266        762.0             773.0
12278         40.0              41.0
12280         11.0              11.0
12323         12.0              12.0
12335          4.0               3.0
12339        131.0             134.0
12343          3.0               3.0
12389         12.0              11.0
12391         22.0              22.0
12402         30.0              31.0
12441          9.0               8.0
12448         35.0              34.0
12451        105.0             101.0
12478        477.0             475.0
12511          3.0               3.0
12519          4.0               4.0
12523         20.0              21.0
12758         62.0              61.0
12819         12.0              12.0
12884         10.0              11.0
12888          3.0               3.0
12889        747.0             752.0
12891          6.0               7.0
12892       1013.0            1028.0
12896         25.0              24.0
12898          8.0               8.0
12915         11.0              11.0
12945         31.0              28.0
12951         21.0              21.0
12953        458.0             450.0
12954         43.0              48.0
12982         57.0              58.0
12992         58.0              59.0
13029         14.0              15.0
13061         10.0              11.0
13076          9.0               9.0
13127          3.0               3.0
13158         30.0              29.0
13184          7.0               7.0
13198        190.0             189.0
13204        579.0             581.0
13230         15.0              15.0
13232        437.0             432.0
